URL,age,default,balance,housing,loan,day,duration,campaign,pdays,previous,label
113,32,0,217,1,1,15,317,5,-1,0,1
114,33,0,22,0,0,30,76,2,207,1,1
115,25,0,331,0,0,26,170,4,-1,0,0
116,25,0,505,0,1,17,386,2,-1,0,0
117,30,0,1808,1,0,18,83,2,-1,0,1
118,22,0,4111,0,1,19,65,1,-1,0,1
119,39,0,52,0,0,13,69,1,-1,0,1
120,46,0,25,0,0,17,564,2,-1,0,1
121,31,0,1890,1,0,21,588,1,-1,0,1
122,45,0,419,0,0,18,113,4,-1,0,1
123,32,0,2693,1,0,21,16,1,-1,0,1
124,36,0,-231,0,1,15,779,2,-1,0,1
125,51,1,-55,1,0,11,281,2,266,6,1
126,34,0,462,0,0,21,1877,3,-1,0,0
127,24,0,119,0,0,15,51,1,-1,0,1
128,45,0,586,0,1,28,32,3,-1,0,1
129,32,0,228,0,0,5,176,1,288,3,1
130,77,0,4659,0,0,14,161,1,-1,0,0
131,41,0,168,1,0,18,187,3,-1,0,1
132,37,0,0,1,0,26,24,1,-1,0,1
133,43,1,-715,1,0,30,67,3,-1,0,1
134,48,0,0,1,0,8,85,1,168,2,1
135,27,0,769,1,0,9,317,2,-1,0,1
136,33,0,0,0,0,28,236,10,-1,0,1
137,29,0,428,1,1,7,54,1,345,2,1
138,34,0,0,0,0,5,71,1,-1,0,1
139,52,0,-970,1,0,4,489,1,-1,0,0
140,60,0,6313,0,0,19,39,2,-1,0,1
141,32,0,948,0,0,12,204,2,-1,0,1
142,32,0,0,1,0,22,455,2,-1,0,1
143,56,0,1877,1,0,30,86,1,-1,0,1
144,31,0,874,1,0,18,190,2,-1,0,1
145,42,0,323,1,1,8,280,2,-1,0,1
146,35,0,106,0,1,11,588,2,-1,0,1
147,56,0,1906,0,1,19,45,9,-1,0,1
148,48,0,1152,1,0,21,168,5,-1,0,1
149,46,0,179,1,0,29,194,4,436,1,1
150,37,0,391,1,0,8,103,3,-1,0,1
151,41,0,89,1,0,6,333,2,-1,0,1
152,36,0,442,1,1,29,102,3,-1,0,1
153,45,1,-249,1,1,1,92,1,-1,0,1
154,55,0,8104,0,0,6,213,2,-1,0,1
155,39,0,501,0,0,26,289,1,-1,0,1
156,35,0,308,0,0,22,77,2,-1,0,1
157,55,0,602,0,0,1,324,3,90,2,0
158,55,0,273,1,0,29,84,3,183,3,1
159,27,0,50,0,0,29,168,1,-1,0,1
160,34,0,1641,1,0,17,380,1,-1,0,1
161,34,0,20,0,0,4,10,1,-1,0,1
162,25,0,4590,1,0,28,199,2,-1,0,1
163,41,0,-256,0,1,9,35,3,-1,0,1
164,43,0,978,1,1,26,82,2,-1,0,1
165,28,0,80,0,0,20,676,2,146,2,0
166,31,0,2104,1,0,3,455,1,-1,0,1
167,78,0,499,0,0,16,80,4,-1,0,1
168,45,0,1269,1,0,29,549,2,-1,0,1
169,48,0,310,0,0,6,135,1,-1,0,1
170,32,0,1143,1,1,10,412,1,-1,0,1
171,42,0,2980,0,0,20,101,3,-1,0,1
172,37,0,37,0,0,28,253,2,-1,0,1
173,40,0,462,1,1,6,272,1,335,4,1
174,32,0,1031,1,0,17,84,1,-1,0,1
175,42,0,9009,0,0,20,135,2,-1,0,1
176,43,0,-465,1,1,23,166,1,-1,0,1
177,44,0,5181,1,1,31,18,7,-1,0,1
178,37,0,176,1,0,5,147,2,347,1,1
179,37,0,1699,0,0,9,63,1,-1,0,1
180,37,0,0,1,0,17,65,2,119,1,1
181,28,0,172,1,1,2,194,2,-1,0,1
182,32,0,0,0,1,11,333,2,-1,0,1
183,34,0,6979,1,0,15,14,5,-1,0,1
184,40,0,6,0,0,11,140,1,-1,0,1
185,34,0,-62,1,0,16,109,3,-1,0,1
186,34,0,1972,1,0,23,61,2,-1,0,1
187,34,0,899,1,0,19,377,3,7,4,1
188,37,0,21,1,0,2,96,1,271,2,1
189,36,0,23,1,0,8,152,2,347,1,1
190,56,0,-1206,1,0,15,382,2,-1,0,0
191,49,0,0,1,1,23,97,6,-1,0,1
192,33,0,215,1,0,29,543,12,-1,0,1
193,30,0,1372,0,0,20,240,2,-1,0,1
194,36,0,1981,0,0,17,48,2,-1,0,1
195,23,0,9216,0,0,5,471,2,-1,0,1
196,57,0,39,1,0,30,354,3,-1,0,1
197,27,0,5563,1,0,30,435,2,-1,0,1
198,38,0,1,0,1,21,152,2,-1,0,1
199,42,0,782,0,0,3,285,1,-1,0,1
200,75,0,3771,0,0,15,185,1,181,2,0
201,34,0,992,1,0,4,301,1,88,2,1
202,48,0,1526,0,0,6,273,2,-1,0,1
203,35,0,2658,1,0,19,768,2,141,3,0
204,39,0,1315,1,0,19,1337,4,126,1,1
205,29,0,455,0,0,21,403,1,-1,0,0
206,45,0,0,1,0,18,139,2,-1,0,1
207,42,0,2030,1,1,9,196,1,-1,0,1
208,29,0,1599,1,0,8,115,1,61,1,1
209,38,0,-196,1,0,2,60,1,271,1,1
210,56,0,1333,0,0,28,17,14,-1,0,1
211,36,0,9149,1,0,13,141,3,-1,0,1
212,25,0,-350,1,0,23,95,3,-1,0,1
213,38,0,432,1,0,15,10,2,373,1,1
214,57,0,11494,0,0,19,198,1,-1,0,1
215,31,1,-253,0,0,12,220,4,-1,0,1
216,42,0,372,1,0,3,654,2,-1,0,0
217,45,0,1410,0,0,11,71,2,-1,0,1
218,30,0,975,1,0,13,256,2,351,2,1
219,49,0,305,1,1,10,834,10,-1,0,1
220,49,0,400,0,0,21,151,3,-1,0,1
221,53,0,-22,1,0,31,20,3,-1,0,1
222,37,0,4030,1,0,26,178,5,-1,0,1
223,49,0,365,0,0,26,59,2,-1,0,1
224,41,0,204,0,0,13,111,7,-1,0,1
225,54,0,1691,1,0,20,186,1,-1,0,1
226,32,0,406,1,0,6,227,1,-1,0,1
227,33,0,-204,0,0,15,297,3,-1,0,1
228,33,0,359,1,0,20,210,1,242,1,1
229,36,0,123,1,0,18,9,1,-1,0,1
230,35,0,0,1,1,23,112,1,62,6,1
231,52,0,142,0,0,25,112,6,-1,0,1
232,40,0,3571,0,0,9,222,3,-1,0,1
233,44,0,33,1,0,13,195,3,351,10,1
234,45,0,0,1,0,26,768,2,91,5,1
235,30,0,3096,0,0,26,123,1,-1,0,1
236,48,1,20,0,0,27,145,3,-1,0,1
237,33,0,3576,1,0,2,124,1,308,2,1
238,57,0,206,1,0,5,216,3,-1,0,1
239,57,0,7082,0,0,6,69,3,-1,0,1
240,51,0,1634,1,0,22,168,4,-1,0,1
241,34,0,1,1,0,22,483,7,-1,0,1
242,50,0,4012,0,0,19,690,3,-1,0,1
243,44,0,3762,0,0,28,125,12,-1,0,1
244,27,0,-247,1,1,4,344,2,-1,0,1
245,50,0,606,1,0,14,673,2,-1,0,1
246,36,0,0,1,0,28,60,1,250,1,1
247,42,0,-189,1,0,12,247,2,-1,0,1
248,32,0,0,0,0,27,123,2,-1,0,1
249,42,0,484,1,0,11,144,2,-1,0,1
250,43,0,0,0,1,8,9,2,172,5,1
251,31,0,395,1,0,9,155,3,-1,0,1
252,32,0,2349,0,0,14,134,5,-1,0,1
253,55,0,410,0,1,11,221,2,-1,0,1
254,58,0,3401,1,0,3,84,3,265,2,1
255,46,0,222,0,0,8,71,2,-1,0,1
256,55,0,989,1,1,23,246,4,-1,0,1
257,34,0,415,0,1,23,361,2,-1,0,1
258,28,0,16,0,0,12,119,4,-1,0,1
259,42,0,7190,1,0,29,375,2,-1,0,1
260,29,0,482,0,1,10,1097,3,-1,0,0
261,54,0,209,1,1,25,97,1,-1,0,1
262,32,0,0,0,0,26,181,2,-1,0,1
263,39,0,5803,0,0,2,83,3,-1,0,1
264,53,0,624,0,1,21,180,4,-1,0,1
265,58,0,883,0,0,18,543,1,78,2,1
266,40,0,1516,1,1,23,373,1,-1,0,1
267,29,0,872,1,0,7,230,1,-1,0,1
268,33,0,-988,1,1,15,83,3,-1,0,1
269,38,0,902,1,0,31,58,13,-1,0,1
270,56,0,1007,0,0,29,88,6,-1,0,1
271,40,0,0,1,0,2,297,1,28,3,1
272,24,0,174,1,1,18,487,1,-1,0,0
273,46,0,12186,0,0,20,29,3,-1,0,1
274,35,0,524,1,0,21,484,4,-1,0,1
275,35,0,0,1,0,21,262,4,-1,0,1
276,34,0,4,1,0,15,644,1,-1,0,1
277,35,0,11219,0,0,12,699,2,79,1,1
278,38,0,0,0,0,28,247,2,-1,0,1
279,50,0,5776,0,0,18,49,3,-1,0,1
280,51,0,37,1,0,13,341,1,-1,0,1
281,59,0,593,0,0,13,64,2,-1,0,1
282,32,0,1148,1,0,20,121,1,-1,0,1
283,37,0,3561,1,0,2,98,1,-1,0,1
284,42,0,63,0,0,16,88,6,-1,0,1
285,40,0,260,0,0,20,197,6,-1,0,1
286,28,0,2269,1,0,9,331,1,-1,0,1
287,47,0,1060,1,0,6,83,3,-1,0,1
288,27,0,-220,1,0,26,138,2,-1,0,1
289,41,0,49,1,0,17,312,5,-1,0,1
290,34,0,69,0,1,4,120,3,1,6,0
291,50,0,4108,1,0,7,526,2,-1,0,0
292,47,0,480,1,0,28,211,2,-1,0,1
293,53,0,4994,0,0,18,62,6,-1,0,1
294,53,0,0,1,1,15,135,5,-1,0,1
295,47,0,3681,0,0,14,101,2,-1,0,1
296,49,1,-701,1,0,30,988,2,-1,0,0
297,29,0,451,0,0,28,451,1,-1,0,1
298,45,0,-311,1,0,23,1030,1,-1,0,0
299,38,0,593,1,1,24,1484,24,-1,0,0
300,32,0,759,1,0,9,317,5,-1,0,0
301,70,0,4531,0,0,18,445,1,-1,0,1
302,65,0,1840,0,0,1,383,2,188,5,1
303,56,0,345,1,0,22,605,1,-1,0,1
304,35,0,1287,1,0,14,330,2,-1,0,1
305,56,0,353,0,1,25,171,2,-1,0,1
306,56,0,205,0,1,23,442,2,-1,0,1
307,49,0,687,1,0,17,772,1,-1,0,0
308,38,0,1147,1,1,8,249,5,-1,0,1
309,35,0,4286,1,0,9,357,1,-1,0,1
310,38,0,605,0,0,18,147,2,-1,0,1
311,49,0,8545,1,1,6,199,7,167,1,1
312,55,0,559,0,0,28,271,2,-1,0,1
313,43,0,2,1,0,30,783,3,-1,0,1
314,43,0,2,0,1,20,472,2,-1,0,1
315,25,0,760,1,0,27,223,3,89,2,0
316,30,0,1317,1,0,21,395,2,-1,0,1
317,46,0,182,0,0,4,56,1,-1,0,1
318,50,0,276,0,1,17,641,6,-1,0,1
319,35,0,2971,0,0,4,429,4,164,2,0
320,26,0,1064,0,0,31,113,1,-1,0,1
321,45,0,1783,0,0,20,11,11,-1,0,1
322,37,0,-67,0,0,2,157,1,-1,0,1
323,60,0,179,0,1,29,79,4,-1,0,1
324,38,0,1199,0,0,4,178,1,1,1,0
325,47,0,214,1,1,9,168,1,-1,0,1
326,33,0,6699,0,0,9,425,1,462,1,1
327,51,0,1760,0,1,19,162,1,-1,0,1
328,35,0,145,1,0,18,799,2,-1,0,0
329,35,0,978,0,0,29,1370,3,209,3,0
330,48,0,1150,1,0,28,357,1,-1,0,1
331,37,0,121,0,0,22,22,6,-1,0,1
332,29,0,828,1,0,16,215,3,321,3,1
333,34,0,244,1,0,31,56,4,-1,0,1
334,32,0,228,1,0,21,1017,6,-1,0,0
335,30,0,424,0,0,16,298,4,-1,0,0
336,47,0,447,0,1,7,126,1,-1,0,1
337,33,0,-195,0,0,20,9,1,-1,0,1
338,33,0,1410,1,0,5,8,1,254,5,1
339,63,0,1084,0,0,14,201,1,183,1,1
340,51,0,10924,0,0,6,106,2,-1,0,1
341,41,0,832,1,1,21,164,1,176,1,1
342,56,0,478,0,0,5,97,1,-1,0,1
343,60,0,0,0,1,23,151,1,-1,0,1
344,41,0,3950,1,0,30,96,2,-1,0,1
345,37,0,504,1,0,16,555,1,-1,0,1
346,36,0,219,1,1,11,270,2,347,1,1
347,57,0,1602,0,0,29,339,3,-1,0,1
348,55,0,2587,0,0,4,328,2,94,2,0
349,44,0,0,1,1,16,159,1,-1,0,1
350,47,0,2303,1,0,6,323,2,364,1,1
351,31,0,1660,1,0,20,342,1,-1,0,1
352,35,1,32,1,0,21,180,1,-1,0,1
353,39,0,278,0,1,28,60,3,-1,0,1
354,50,0,4,0,0,17,223,1,96,2,1
355,29,0,318,1,0,18,1434,2,356,4,1
356,30,0,209,1,0,6,30,2,-1,0,1
357,46,0,271,1,0,16,134,4,-1,0,1
358,27,0,3196,0,0,9,10,2,-1,0,1
359,48,0,4099,0,0,2,397,2,-1,0,0
360,26,0,2572,1,0,5,620,1,-1,0,1
361,36,0,339,0,0,21,6,6,-1,0,1
362,42,0,0,1,1,7,209,2,-1,0,1
363,50,0,395,1,0,15,419,2,-1,0,1
364,49,0,2039,1,0,18,283,2,-1,0,1
365,45,0,5450,0,0,8,188,2,-1,0,1
366,23,0,780,0,0,16,267,1,-1,0,1
367,38,0,0,1,0,7,196,2,-1,0,1
368,32,0,8436,1,0,17,245,1,149,2,1
369,60,0,11262,0,0,26,323,1,-1,0,0
370,30,0,946,1,0,19,1065,1,183,1,1
371,58,0,497,0,0,11,138,5,-1,0,1
372,60,0,55,0,0,4,207,1,-1,0,1
373,38,0,-140,0,0,25,456,3,-1,0,1
374,51,0,-379,1,0,5,261,1,-1,0,1
375,42,0,-396,1,0,11,80,1,308,4,1
376,30,0,0,1,0,18,131,6,363,9,1
377,40,0,733,1,0,6,94,7,-1,0,1
378,37,0,393,1,0,14,567,3,275,4,0
379,53,0,7290,1,0,30,153,1,-1,0,1
380,27,0,468,1,0,13,109,1,-1,0,1
381,39,0,0,1,0,30,53,1,325,1,1
382,39,0,3705,1,0,16,77,1,-1,0,1
383,59,0,9676,0,0,27,234,2,-1,0,0
384,37,0,1328,1,0,13,121,2,341,4,1
385,41,0,8,1,0,15,155,2,-1,0,1
386,45,0,61,0,0,17,108,1,-1,0,1
387,48,0,6613,0,0,17,159,3,-1,0,1
388,48,0,302,1,0,26,208,3,-1,0,1
389,32,0,1005,0,0,12,215,1,-1,0,1
390,35,0,109,1,0,6,597,3,-1,0,1
391,33,0,1240,1,0,4,505,2,260,1,1
392,28,0,0,1,1,3,380,4,-1,0,1
393,64,0,2923,0,0,12,120,1,-1,0,1
394,35,0,0,0,0,27,106,4,-1,0,1
395,33,0,43,1,0,14,332,2,358,2,1
396,41,0,288,1,0,15,221,4,-1,0,1
397,34,0,613,1,0,4,80,1,-1,0,1
398,37,0,6101,0,0,4,60,5,87,1,1
399,38,0,168,1,1,13,212,3,-1,0,1
400,39,0,7685,1,0,14,493,3,-1,0,1
401,35,0,4515,1,0,19,98,2,-1,0,1
402,28,0,517,0,1,8,681,1,-1,0,0
403,27,0,148,0,0,22,203,1,-1,0,1
404,48,1,-285,0,1,19,157,1,-1,0,1
405,50,0,887,0,0,16,287,1,-1,0,1
406,45,0,3098,1,0,7,159,2,-1,0,1
407,41,0,744,1,0,14,125,1,-1,0,1
408,39,0,130,0,0,8,202,2,-1,0,1
409,44,0,438,1,0,8,37,3,303,1,1
410,54,0,0,0,0,28,161,1,98,2,0
411,49,0,322,0,0,6,72,4,-1,0,1
412,34,0,186,0,0,2,342,1,-1,0,1
413,75,0,3810,1,0,16,262,1,183,1,0
414,42,0,0,0,0,13,325,2,-1,0,1
415,53,0,4380,0,0,19,223,7,-1,0,1
416,49,0,755,0,0,31,1212,4,-1,0,0
417,31,0,2070,0,0,29,319,2,-1,0,1
418,45,0,999,0,0,29,182,2,-1,0,1
419,39,0,167,1,1,17,330,1,-1,0,1
420,46,0,1322,1,1,19,514,1,-1,0,1
421,42,0,1076,1,0,14,213,1,-1,0,1
422,37,0,502,1,0,7,551,1,351,1,1
423,26,0,1216,1,0,16,472,2,-1,0,1
424,37,0,876,1,0,15,140,4,327,2,1
425,36,0,342,1,0,7,142,1,-1,0,1
426,29,0,950,1,0,4,135,3,-1,0,1
427,36,0,973,1,1,23,293,1,-1,0,1
428,26,0,3825,1,0,13,107,1,-1,0,1
429,32,0,2366,1,0,20,127,2,-1,0,1
430,40,0,542,1,0,20,1816,1,-1,0,1
431,53,0,995,0,0,4,200,3,-1,0,1
432,29,0,20,1,0,12,418,1,-1,0,1
433,34,0,228,1,0,22,387,4,-1,0,1
434,43,0,130,0,0,5,156,1,337,3,1
435,56,0,217,0,1,21,121,2,-1,0,1
436,55,0,0,0,0,6,108,2,-1,0,1
437,31,0,259,1,0,7,47,1,-1,0,1
438,27,0,619,1,0,20,16,5,322,4,1
439,36,0,644,1,0,18,54,2,-1,0,1
440,44,0,22,1,0,6,265,2,-1,0,1
441,37,0,4303,1,0,23,168,1,-1,0,1
442,30,0,239,1,0,7,115,3,-1,0,1
443,42,0,275,0,0,26,31,8,-1,0,1
444,30,0,1221,1,0,25,279,4,-1,0,0
445,62,0,816,0,0,1,28,2,-1,0,1
446,24,0,1222,1,0,20,369,1,-1,0,1
447,31,0,2363,1,0,13,247,1,-1,0,1
448,66,0,2262,0,0,22,155,1,-1,0,1
449,47,0,2,0,0,10,89,1,-1,0,1
450,39,0,2,1,0,17,180,1,-1,0,1
451,35,0,4508,1,0,18,854,1,-1,0,0
452,35,0,-402,1,0,17,46,1,-1,0,1
453,27,0,1577,1,1,28,266,2,-1,0,1
454,32,0,34,1,0,5,321,2,-1,0,1
455,44,0,795,0,0,28,99,24,-1,0,1
456,42,0,117,1,0,9,147,1,-1,0,1
457,34,0,5462,0,0,30,430,1,-1,0,0
458,25,0,402,0,1,7,264,1,-1,0,1
459,40,0,641,0,0,16,156,6,-1,0,1
460,43,0,36,0,0,26,118,1,102,2,1
461,55,0,383,0,0,6,343,3,-1,0,1
462,50,0,283,1,0,7,226,3,-1,0,1
463,45,0,0,0,0,1,5,1,-1,0,1
464,35,0,3102,1,0,20,138,1,-1,0,1
465,32,0,889,1,0,10,185,1,99,5,0
466,59,0,0,0,0,3,722,1,99,4,1
467,34,0,-370,1,0,21,748,1,-1,0,1
468,39,0,-606,1,0,26,142,1,-1,0,1
469,40,0,10378,1,0,17,523,3,-1,0,1
470,36,0,1313,1,0,20,8,10,-1,0,1
471,40,0,8969,1,0,17,153,1,-1,0,1
472,55,0,-196,1,0,20,210,2,-1,0,1
473,38,1,15,1,0,10,121,1,-1,0,1
474,61,0,4608,0,0,12,212,1,-1,0,0
475,41,0,666,1,0,21,253,3,-1,0,1
476,57,0,452,1,0,13,139,4,-1,0,1
477,48,0,149,1,0,9,71,1,-1,0,1
478,77,0,7802,0,0,4,421,1,92,2,0
479,35,0,1453,1,0,28,199,1,-1,0,1
480,54,0,1480,1,0,14,108,1,-1,0,1
481,37,0,715,1,0,20,247,2,-1,0,1
482,56,0,237,1,0,9,236,4,-1,0,1
483,40,0,694,1,0,4,97,4,196,5,1
484,40,0,0,0,0,14,109,8,-1,0,1
485,54,0,55,1,0,2,112,2,-1,0,1
486,55,0,136,1,0,19,15,10,-1,0,1
487,55,1,-404,1,0,22,502,3,-1,0,1
488,52,0,779,1,0,16,30,3,-1,0,1
489,55,0,1187,1,0,2,193,2,-1,0,1
490,33,0,641,1,0,13,347,2,-1,0,1
491,52,0,826,1,0,15,468,2,-1,0,1
492,33,0,991,1,0,27,148,1,-1,0,1
493,53,0,1796,0,0,16,295,1,91,2,0
494,46,0,22,0,0,26,388,6,-1,0,0
495,44,0,244,1,0,12,1735,4,-1,0,0
496,48,0,1328,1,0,6,339,1,-1,0,1
497,50,0,7317,1,0,13,172,1,370,1,1
498,34,0,4943,1,1,19,117,2,-1,0,1
499,38,0,258,0,1,20,587,2,-1,0,1
500,42,0,515,1,0,19,501,2,-1,0,1
501,32,0,12607,0,0,14,203,5,84,1,1
502,58,0,2,1,1,25,282,9,-1,0,1
503,31,0,13,0,0,28,110,5,-1,0,1
504,19,0,103,0,0,10,104,2,-1,0,0
505,41,0,3872,0,0,15,231,1,-1,0,1
506,31,0,296,1,0,20,378,3,-1,0,1
507,52,0,217,0,1,15,193,6,-1,0,1
508,42,0,360,1,0,24,110,5,-1,0,1
509,41,0,428,1,0,12,92,1,-1,0,1
510,30,0,315,0,0,23,1407,1,-1,0,0
511,38,0,121,1,1,6,168,1,212,2,1
512,32,0,820,1,0,17,738,3,-1,0,1
513,52,0,195,1,0,18,220,1,63,5,0
514,48,0,108,1,0,27,89,2,-1,0,1
515,36,0,-381,1,0,31,30,29,-1,0,1
516,45,0,757,0,0,20,103,1,325,4,1
517,34,0,691,1,1,2,70,1,-1,0,1
518,36,0,1925,1,0,20,904,2,-1,0,0
519,34,0,902,1,0,14,159,1,367,2,1
520,61,0,5207,0,0,11,336,1,81,2,1
521,54,0,0,0,0,19,220,1,-1,0,1
522,50,0,665,0,0,17,238,1,-1,0,1
523,43,0,738,1,0,21,585,4,191,4,1
524,47,0,233,0,0,8,293,3,-1,0,1
525,45,0,-839,1,0,28,68,1,-1,0,1
526,57,0,5799,0,0,17,97,1,-1,0,1
527,27,0,1033,1,0,9,1713,1,-1,0,1
528,49,0,66,0,0,9,218,3,-1,0,1
529,43,0,2567,1,0,14,109,1,360,2,1
530,40,0,1584,1,0,21,661,1,-1,0,1
531,32,0,182,1,0,6,145,1,-1,0,1
532,58,0,76,1,0,18,54,4,-1,0,1
533,34,0,663,1,0,20,111,1,-1,0,1
534,46,0,3455,1,0,14,566,2,-1,0,1
535,29,0,15,0,0,3,136,1,-1,0,1
536,52,0,1054,0,0,4,273,1,-1,0,1
537,45,0,1529,0,0,30,160,1,-1,0,1
538,26,0,63,0,0,28,76,4,-1,0,1
539,40,0,0,0,0,19,44,1,-1,0,1
540,41,0,920,1,1,27,239,1,-1,0,1
541,47,0,3696,0,0,12,250,2,181,4,0
542,27,0,59,0,0,15,792,4,-1,0,1
543,27,0,0,1,0,23,198,13,-1,0,1
544,48,0,157,1,0,6,73,1,-1,0,1
545,49,0,2465,0,0,20,157,3,-1,0,1
546,35,0,0,1,0,24,90,6,-1,0,1
547,47,1,2,0,0,5,236,2,-1,0,1
548,54,0,0,0,0,16,118,5,-1,0,1
549,39,0,12437,0,0,18,40,1,-1,0,1
550,28,0,378,1,0,17,346,1,-1,0,1
551,54,0,211,0,0,19,200,2,-1,0,1
