URL,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
27660,60000,2,1,2,27,2,2,0,0,0,2,19341,19625,20347,21669,23005,22499,900,1342,1664,2000,0,900,1
3486,50000,2,3,1,42,2,2,2,0,0,2,44961,48164,38684,41034,43597,42743,4000,0,3000,3228,0,4000,1
24035,20000,1,2,2,27,1,2,0,0,2,2,7326,7060,8240,9582,9279,9971,0,1296,1638,0,844,0,1
18947,220000,2,2,2,30,1,2,0,0,0,0,5627,5391,6442,7458,8177,111816,0,1300,1281,1000,103860,4346,1
17964,70000,1,2,2,32,0,0,0,0,0,0,71336,70393,131412,63823,52339,40836,3609,2523,2441,3038,2029,70004,1
2861,70000,2,1,2,25,2,0,0,0,0,0,5730,7625,9484,11317,13125,14742,2000,2000,2000,2000,2000,2000,1
9288,80000,2,2,2,34,1,3,2,0,0,-2,84054,82194,78715,26681,0,0,3,5,1075,0,0,0,1
384,170000,2,2,2,28,-1,0,0,2,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,1
26464,500000,2,3,1,49,-1,-1,-1,2,-1,0,396,396,5792,396,792,396,396,5792,0,792,0,5857,1
9788,130000,1,1,2,34,2,2,2,0,0,2,72996,75241,73442,75115,79230,81278,4000,0,3500,5500,3500,0,1
21716,30000,2,2,2,24,1,2,2,2,2,2,25193,24490,27474,27926,27189,28604,0,3400,1200,0,2500,1000,1
9191,60000,2,2,1,24,3,2,2,2,0,0,33866,33041,35284,31602,32221,30208,0,2900,0,1200,1409,1115,1
467,220000,1,1,2,38,0,0,0,0,0,0,212795,211043,212759,218541,167743,165300,8909,7500,9000,6729,6000,7009,1
2977,110000,1,3,2,32,0,-1,-1,-2,-2,-2,34000,223,0,0,0,0,223,0,0,0,0,0,1
9106,180000,2,2,2,34,0,0,0,0,0,0,181385,170946,171079,126724,125786,127419,8194,8500,4600,5000,4600,5000,1
16807,50000,1,2,1,49,1,2,0,0,0,0,16747,16181,17912,19606,20969,25302,0,2000,2000,2000,5000,0,1
25064,20000,1,3,2,55,0,0,0,0,0,0,19978,18910,18962,19886,18978,17124,1594,1476,1400,380,342,672,1
15598,20000,2,2,2,22,1,2,0,0,2,2,9498,9202,10741,12326,11888,9351,0,2000,1800,0,900,0,1
8294,50000,2,3,2,23,2,2,2,2,2,2,42304,45327,46294,47147,46272,49050,3695,2000,1900,0,3700,0,1
25885,30000,2,3,1,40,2,2,2,0,0,0,16457,19145,18547,18645,17847,15465,3280,0,1511,609,500,800,1
28151,20000,2,3,2,48,1,3,2,4,5,4,18038,18445,21556,22824,22192,21271,1000,3700,1900,0,0,0,1
7529,240000,2,1,2,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
28097,50000,2,2,1,39,1,2,2,2,0,0,27094,26365,29124,28357,28984,30012,0,3500,0,1100,1500,1100,1
13498,10000,1,3,1,37,-1,-1,-1,-1,-1,-1,678,500,381,2977,1000,0,602,381,2986,1203,0,0,1
2732,250000,1,1,2,31,-2,-2,-2,-2,-2,-2,-23,3102,4438,3416,-4,1404,3125,4455,3417,0,1408,1717,1
15673,30000,1,2,2,31,1,2,2,2,2,2,10916,11940,11462,13263,12758,13545,1500,0,2300,0,1300,800,1
18186,260000,1,2,1,44,2,-1,2,-1,0,0,802,4541,3896,119498,109399,111203,4541,0,119498,3500,3983,3579,1
14161,120000,2,1,1,38,-1,-1,-1,-1,-1,-1,980,4000,1000,0,19100,0,4000,1000,0,19100,0,0,1
11719,20000,1,1,2,24,1,-2,-2,-2,-2,-1,0,0,0,0,0,1273,0,0,0,0,1273,0,1
26485,100000,2,3,1,50,2,2,2,2,-1,0,117517,110537,99734,99973,71008,66735,4700,0,3000,103000,2500,3000,1
8624,390000,2,2,1,45,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,3971,1
2508,20000,1,2,2,48,0,0,0,2,0,0,7186,9063,10909,10440,10803,11330,2000,2000,0,680,1000,0,1
20699,80000,1,3,2,44,0,0,0,0,-1,-1,55297,56677,57687,4500,4500,0,2300,2200,1005,4500,0,0,1
12454,60000,2,2,2,22,1,2,2,0,0,0,52126,52707,47939,29351,28128,27811,2030,0,1014,1001,1020,1142,1
5735,60000,1,2,1,40,0,0,0,0,0,0,58078,58139,59461,37170,18464,15822,2354,2538,1000,2000,1000,1000,1
5114,30000,2,3,2,36,2,2,2,2,2,2,25437,26734,26011,27353,26776,28620,2000,0,2078,0,2291,0,1
16885,20000,1,2,2,37,0,0,0,0,0,0,15612,16927,17794,18550,18850,0,1577,1444,1200,500,0,0,1
17356,50000,2,3,1,48,0,0,0,0,0,0,41842,42422,43050,43650,45217,46044,1984,2019,2026,3000,2000,1500,1
15976,60000,2,3,1,35,1,2,0,0,2,0,10722,10254,15043,19738,19195,19473,0,5000,5000,0,2000,1000,1
3368,90000,2,2,1,48,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,316,1
19043,70000,2,2,2,23,2,2,2,0,0,2,14871,17461,16892,18013,19315,19859,2850,0,1400,1600,1000,0,1
8118,150000,1,1,2,42,2,0,0,0,0,0,143896,147475,75423,70034,44311,20056,6482,3440,2046,4311,5056,1169,1
3619,210000,1,3,1,41,-1,-1,2,0,0,-1,390,1732,1170,780,390,69438,1732,0,0,0,69438,3750,1
6540,80000,2,1,2,28,0,0,2,2,2,2,75709,80033,78145,80584,81693,78470,6800,0,6000,3000,0,5100,1
7725,90000,2,1,2,23,-1,0,0,2,2,2,11495,10764,11304,9601,10050,8304,1200,3000,0,2000,0,2000,1
20685,50000,1,2,2,29,2,2,2,2,2,0,35488,36606,37526,38214,37302,38546,2000,1800,1600,0,2000,1600,1
1199,340000,2,3,2,44,0,0,0,0,0,0,142836,145125,146682,150407,147868,149349,7000,5500,6027,5328,5390,6047,1
1486,20000,2,2,3,44,2,2,7,7,7,6,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,1
20006,230000,2,1,1,45,-1,-1,-1,-1,-1,-1,6348,0,967,0,699,499,0,967,0,699,499,0,1
16870,20000,1,2,2,36,1,4,3,3,2,3,15557,15015,16079,15528,16477,15930,0,1600,0,1500,0,0,1
21428,110000,2,1,2,24,2,0,0,0,0,2,85123,40882,35428,39680,44097,42543,2000,2000,5000,5000,0,2000,1
13674,30000,2,2,2,22,0,0,0,0,0,0,30123,30299,27758,22720,19136,14452,1600,2000,2000,614,924,0,1
5042,310000,1,1,2,28,0,0,0,0,0,0,272588,169978,156699,131276,118837,119402,9978,6699,11276,9695,19402,6270,1
20944,280000,1,2,1,39,2,0,0,0,0,0,130549,131955,134910,139280,139188,271388,5000,5000,6585,6409,6046,3053,1
27666,50000,2,3,2,24,0,-1,-1,2,2,-1,10901,16877,9673,7755,6701,15567,22514,4000,8,3000,19000,3500,1
28974,100000,2,2,1,35,0,0,0,0,0,0,77394,76081,61898,53035,15785,7762,2640,3007,2300,200,290,50000,1
21377,20000,1,2,1,55,3,2,2,2,0,0,13139,12636,15212,14675,14835,15047,0,3100,0,700,600,2000,1
6646,30000,2,2,1,46,1,2,2,2,2,2,27882,28937,30128,30548,31326,30688,1800,1980,1200,1400,0,800,1
1368,50000,1,3,2,22,0,0,0,0,0,0,42678,38239,22691,8807,7143,6967,1500,1100,1000,500,500,1000,1
24479,280000,1,1,2,31,2,0,0,-1,0,0,278510,279845,0,189841,193313,192742,6996,0,189841,6022,6078,5300,1
10763,50000,1,2,1,53,0,0,0,0,0,0,47750,49149,47843,29018,29777,28722,2180,1874,1049,1237,1100,1300,1
28367,20000,2,3,1,39,1,2,2,2,2,0,8562,9478,8198,9752,9447,10290,1200,0,1700,0,1000,1500,1
2757,200000,1,2,1,31,7,6,5,4,3,2,254266,240966,228663,217600,208432,200057,0,328,0,0,600,2500,1
11335,210000,2,3,1,42,1,-1,-1,0,0,-1,0,1200,12466,16870,17741,13049,1200,12466,6004,6000,7282,9731,1
28686,100000,2,2,2,31,0,0,0,0,0,0,101458,101207,101421,101111,101384,101358,3800,4000,3602,3719,3700,7800,1
8173,500000,1,1,2,43,0,0,0,-1,-1,-1,504644,512650,0,3887,0,7413,22650,0,3887,0,7413,0,1
9537,240000,2,2,2,26,0,0,0,0,0,0,138859,136521,135459,117308,107928,103799,5308,4915,4100,4000,4002,4000,1
2665,50000,2,2,2,36,0,0,0,0,0,2,94228,47635,42361,19574,20295,19439,2000,1500,1000,1800,0,1000,1
11061,380000,1,1,1,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
12202,50000,1,2,1,25,0,0,2,2,2,2,21397,24233,23551,24848,26298,28112,3500,0,2000,2000,2400,0,1
1350,10000,2,2,2,49,1,2,0,0,0,0,8184,5011,5728,4255,2782,1309,0,1000,0,0,0,0,1
12832,20000,1,2,2,24,2,0,0,2,2,2,4127,5557,7458,7192,7923,7647,1500,2000,0,1000,0,1000,1
3751,290000,2,2,1,37,-1,0,0,0,0,0,1428,2741,4029,5451,6357,7246,1500,1500,1500,1000,1000,1000,1
29109,50000,2,3,2,57,2,2,-2,-2,-2,-2,50525,0,0,0,0,0,0,0,0,0,0,0,1
9605,290000,1,1,3,55,0,0,2,0,0,0,7970,10320,10005,10838,11663,13301,2482,0,1000,1000,2000,2000,1
6718,140000,1,1,2,27,0,0,0,2,0,0,19484,20114,16606,9609,5429,9763,2000,10063,0,2000,5000,5000,1
17497,80000,2,2,1,28,2,0,0,0,0,0,52062,49884,22348,22063,8723,7254,2158,1708,1411,4,21,220,1
29193,50000,1,1,2,29,0,-1,-1,2,0,0,50085,2127,6093,5850,9558,15371,3000,4000,0,4000,6000,0,1
836,30000,2,3,2,53,-1,-1,-1,-1,-1,-1,1598,2487,0,4810,2796,3245,2487,0,4810,2796,3245,7305,1
24452,50000,1,2,2,38,0,0,0,0,0,0,52711,47302,48540,48355,18184,18591,1769,2007,1822,651,700,1000,1
4536,230000,1,2,2,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
22022,40000,2,2,2,25,0,0,0,0,0,0,26133,26896,27961,28995,29612,30434,1500,1500,1500,1100,1300,1200,1
16125,80000,2,3,1,40,2,0,0,0,0,0,16413,12171,11554,7830,4305,5427,2160,1500,1218,311,1351,1000,1
27060,210000,1,2,1,39,-1,-1,-1,-1,0,0,600,169,497,15433,8500,10500,169,497,15436,170,2000,2822,1
3724,50000,2,3,2,23,2,0,0,0,0,0,37350,39740,40779,41793,42916,44199,3000,2000,2000,1800,2000,2000,1
29686,50000,1,3,1,32,0,0,0,0,0,-1,47974,43680,22133,12882,8131,3983,3000,2871,1000,163,3983,3771,1
17453,20000,2,2,1,46,1,2,0,0,0,0,13254,12749,13834,14894,15050,16251,0,1600,1600,700,1601,1620,1
6292,190000,1,2,1,51,0,0,0,0,0,0,86713,75143,43487,34904,108419,75455,3359,13487,1414,40710,43406,2773,1
848,50000,1,2,3,42,2,0,0,2,0,0,47647,50232,50510,32177,29530,29789,3700,3700,0,1072,1500,1132,1
8683,50000,2,2,2,24,2,2,2,0,0,0,48283,48767,35917,26946,22458,23569,1700,0,1036,817,1486,3500,1
29330,90000,1,4,2,26,-2,-2,-2,-2,-2,-2,2862,0,0,1000,326,326,0,0,1000,326,326,1178,1
17189,20000,2,3,1,31,-1,5,4,3,2,0,14320,13815,13403,12888,12019,11500,0,86,0,0,435,480,1
14810,130000,1,1,1,45,2,0,0,2,2,2,53709,55244,58716,57174,61240,61284,3000,5000,0,5000,1200,3000,1
6366,20000,1,3,1,27,0,0,2,0,0,0,20184,20702,20057,19583,19991,20446,2950,2,687,709,965,559,1
10794,210000,1,2,1,30,0,0,0,2,0,0,85988,88410,93234,90571,94653,142549,5000,7500,0,6000,50000,0,1
29922,410000,1,1,2,34,0,0,0,-1,-1,-1,468749,411016,420393,1467,1421,-15,17259,18600,1474,1428,0,0,1
20314,270000,2,1,1,60,-1,-1,-1,-1,-1,2,836,836,836,836,1972,986,836,836,836,1972,0,836,1
20669,60000,1,2,1,30,1,2,2,2,2,0,46138,44832,47830,48458,47176,47461,0,4000,2000,0,2000,1700,1
27028,50000,1,3,1,36,3,2,2,2,2,-1,150,150,150,150,150,930,0,0,0,0,930,0,1
4108,290000,1,1,1,63,0,0,0,0,0,2,183800,187658,193030,195356,207180,211614,6820,8500,7020,15000,8000,0,1
27722,150000,2,1,2,24,-1,-1,-1,-1,-1,-1,291,291,291,291,658,441,291,291,291,658,441,1197,1
20363,100000,1,1,1,37,0,0,0,0,0,0,99516,87274,96414,74161,45585,40178,10184,20000,5150,5000,10000,10000,1
15237,30000,2,2,2,26,2,2,2,2,0,0,30028,26208,28804,22335,17448,17448,0,3400,0,0,0,0,1
6703,200000,2,2,2,30,6,5,4,3,2,0,71310,69676,67976,68468,67439,56163,0,0,2000,0,1925,1130,1
13773,50000,2,1,2,29,2,0,0,0,0,0,45367,46815,10099,8686,8614,6977,2335,1629,500,500,1000,1000,1
15493,80000,1,3,1,41,0,0,0,0,0,0,90894,93167,81146,80674,63110,40376,4000,3200,2606,2431,1779,1000,1
6139,50000,2,3,1,36,0,0,0,0,0,2,45260,46605,47317,48259,50245,50265,2075,1787,1729,2765,1000,2000,1
12563,270000,2,3,1,37,-1,-1,-1,-1,-1,-1,384,2197,186,0,173,0,2197,186,0,173,0,433,1
21134,220000,1,3,1,48,-2,-2,-1,0,0,0,0,0,2128,4071,5640,7078,0,2128,2000,2000,2000,1500,1
25458,80000,2,3,1,25,0,-1,-1,-1,-1,-1,3525,1504,0,2332,4320,0,1654,0,2332,4320,0,0,1
28174,280000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
16723,220000,1,1,1,47,2,2,2,0,0,0,165665,163494,162360,134989,124915,84959,2008,6000,6000,4000,2852,9000,1
1345,200000,1,1,1,38,-1,-1,-1,-1,-1,-1,6186,735,1463,15550,5045,6709,735,1463,15550,5045,6709,3021,1
12206,240000,2,1,2,30,1,1,-2,-2,-2,-2,9028,-1868,-1868,-1868,-1868,-1868,0,0,0,0,0,0,1
5747,120000,1,3,1,38,2,2,2,2,2,2,77468,78642,79757,80853,82715,84805,3000,3000,3000,3300,3600,2700,1
16756,70000,1,2,1,35,0,0,0,0,0,0,69388,70480,66646,69641,46458,50679,3439,3237,4938,1693,5000,2200,1
7481,110000,1,2,2,28,2,2,2,2,0,0,111541,113676,114223,110876,107710,90071,5400,4000,0,4000,3700,4000,1
12282,50000,1,1,1,37,2,0,0,0,2,0,48716,49504,44127,22053,20129,19262,2213,1804,2700,0,700,1000,1
