URL,age,balance,day,duration,campaign,pdays,previous,label
60,46,179,5,1778,1,-1,0,0
61,32,0,5,138,1,-1,0,0
62,53,989,5,812,1,-1,0,0
63,57,249,5,164,1,-1,0,0
64,33,790,5,391,1,-1,0,0
65,49,154,5,357,1,-1,0,0
66,51,6530,5,91,1,-1,0,0
67,60,100,5,528,1,-1,0,0
68,59,59,5,273,1,-1,0,0
69,55,1205,5,158,2,-1,0,0
70,35,12223,5,177,1,-1,0,0
71,57,5935,5,258,1,-1,0,0
72,31,25,5,172,1,-1,0,0
73,54,282,5,154,1,-1,0,0
74,55,23,5,291,1,-1,0,0
75,43,1937,5,181,1,-1,0,0
76,53,384,5,176,1,-1,0,0
77,44,582,5,211,1,-1,0,0
78,55,91,5,349,1,-1,0,0
79,49,0,5,272,1,-1,0,0
80,55,1,5,208,1,-1,0,0
81,45,206,5,193,1,-1,0,0
82,47,164,5,212,1,-1,0,0
83,42,690,5,20,1,-1,0,0
84,59,2343,5,1042,1,-1,0,1
85,46,137,5,246,1,-1,0,0
86,51,173,5,529,2,-1,0,0
87,56,45,5,1467,1,-1,0,1
88,41,1270,5,1389,1,-1,0,1
89,46,16,5,188,2,-1,0,0
90,57,486,5,180,2,-1,0,0
91,42,50,5,48,1,-1,0,0
92,30,152,5,213,2,-1,0,0
93,60,290,5,583,1,-1,0,0
94,60,54,5,221,1,-1,0,0
95,57,-37,5,173,1,-1,0,0
96,36,101,5,426,1,-1,0,0
97,55,383,5,287,1,-1,0,0
98,60,81,5,101,1,-1,0,0
99,39,0,5,203,1,-1,0,0
100,46,229,5,197,1,-1,0,0
101,44,-674,5,257,1,-1,0,0
102,53,90,5,124,1,-1,0,0
103,52,128,5,229,1,-1,0,0
104,59,179,5,55,3,-1,0,0
105,27,0,5,400,1,-1,0,0
106,44,54,5,197,1,-1,0,0
107,47,151,5,190,1,-1,0,0
108,34,61,5,21,1,-1,0,0
109,59,30,5,514,1,-1,0,0
110,45,523,5,849,2,-1,0,0
111,29,31,5,194,1,-1,0,0
112,46,79,5,144,1,-1,0,0
113,56,-34,5,212,2,-1,0,0
114,36,448,5,286,1,-1,0,0
115,59,81,5,107,1,-1,0,0
116,44,144,5,247,2,-1,0,0
117,41,351,5,518,1,-1,0,0
118,33,-67,5,364,1,-1,0,0
119,59,262,5,178,1,-1,0,0
120,57,0,5,98,1,-1,0,0
121,56,56,5,439,1,-1,0,0
122,51,26,5,79,1,-1,0,0
123,34,3,5,120,3,-1,0,0
124,43,41,5,127,2,-1,0,0
125,52,7,5,175,1,-1,0,0
126,33,105,5,262,2,-1,0,0
127,29,818,5,61,1,-1,0,0
128,34,-16,5,78,1,-1,0,0
129,31,0,5,143,1,-1,0,0
130,55,2476,5,579,1,-1,0,1
131,55,1185,5,677,1,-1,0,0
132,32,217,5,345,1,-1,0,0
133,38,1685,5,185,1,-1,0,0
134,55,802,5,100,2,-1,0,0
135,28,0,5,125,2,-1,0,0
136,23,94,5,193,1,-1,0,0
137,32,0,5,136,1,-1,0,0
138,43,0,5,73,1,-1,0,0
139,32,517,5,528,1,-1,0,0
140,46,265,5,541,1,-1,0,0
141,53,947,5,163,1,-1,0,0
142,34,3,5,301,1,-1,0,0
143,57,42,5,46,1,-1,0,0
144,37,37,5,204,1,-1,0,0
145,59,57,5,98,1,-1,0,0
146,33,22,5,71,1,-1,0,0
147,56,8,5,157,2,-1,0,0
148,48,293,5,243,1,-1,0,0
149,43,3,5,186,2,-1,0,0
150,54,348,5,579,2,-1,0,0
151,51,-19,5,163,2,-1,0,0
152,26,0,5,610,2,-1,0,0
153,40,-4,5,2033,1,-1,0,0
154,39,18,5,85,1,-1,0,0
155,50,139,5,114,2,-1,0,0
156,41,0,5,114,2,-1,0,0
157,51,1883,5,57,1,-1,0,0
158,60,216,5,238,1,-1,0,0
159,52,782,5,93,3,-1,0,0
160,48,904,5,128,2,-1,0,0
161,48,1705,5,107,1,-1,0,0
162,39,47,5,181,1,-1,0,0
163,47,176,5,303,2,-1,0,0
164,40,1225,5,558,5,-1,0,0
165,45,86,5,270,1,-1,0,0
166,26,82,5,228,1,-1,0,0
167,52,271,5,99,1,-1,0,0
168,54,1378,5,240,1,-1,0,0
169,54,184,5,673,2,-1,0,1
170,50,0,5,233,3,-1,0,0
171,35,0,5,1056,1,-1,0,0
172,44,1357,5,250,1,-1,0,0
173,53,19,5,252,1,-1,0,0
174,35,434,5,138,1,-1,0,0
175,60,92,5,130,1,-1,0,0
176,53,1151,5,412,1,-1,0,0
177,48,41,5,179,2,-1,0,0
178,34,51,5,19,2,-1,0,0
179,54,214,5,458,2,-1,0,0
180,51,1161,5,717,1,-1,0,0
181,31,37,5,313,1,-1,0,0
182,35,787,5,683,2,-1,0,0
183,35,59,5,1077,1,-1,0,0
184,38,253,5,416,1,-1,0,0
185,36,211,5,146,2,-1,0,0
186,58,235,5,167,1,-1,0,0
187,40,4384,5,315,1,-1,0,0
188,54,4080,5,140,1,-1,0,0
189,34,53,5,346,1,-1,0,0
190,31,0,5,562,1,-1,0,0
191,51,2127,5,172,1,-1,0,0
192,33,377,5,217,1,-1,0,0
193,55,73,5,142,2,-1,0,0
194,42,445,5,67,1,-1,0,0
195,34,243,5,291,1,-1,0,0
196,33,307,5,309,2,-1,0,0
197,38,155,5,248,1,-1,0,0
198,50,173,5,98,1,-1,0,0
199,43,400,5,256,1,-1,0,0
200,61,1428,5,82,2,-1,0,0
201,47,219,5,577,1,-1,0,0
202,48,7,5,286,1,-1,0,0
203,44,575,5,477,1,-1,0,0
204,35,298,5,611,2,-1,0,0
205,35,0,5,471,1,-1,0,0
206,50,5699,5,381,2,-1,0,0
207,41,176,5,42,1,-1,0,0
208,41,517,5,251,1,-1,0,0
209,39,257,5,408,1,-1,0,0
210,42,56,5,215,1,-1,0,0
211,38,-390,5,287,1,-1,0,0
212,53,330,5,216,2,-1,0,0
213,59,195,5,366,2,-1,0,0
214,36,301,5,210,1,-1,0,0
215,54,-41,5,288,1,-1,0,0
216,40,483,5,168,1,-1,0,0
217,47,28,5,338,2,-1,0,0
218,53,13,5,410,3,-1,0,0
219,46,965,5,177,1,-1,0,0
220,39,378,5,127,2,-1,0,0
221,40,219,5,357,1,-1,0,0
222,28,324,5,175,1,-1,0,0
223,35,-69,5,300,1,-1,0,0
224,55,0,5,136,1,-1,0,0
225,43,205,5,1419,1,-1,0,0
226,48,278,5,125,2,-1,0,0
227,58,1065,5,213,3,-1,0,0
228,33,34,5,27,1,-1,0,0
229,36,1033,5,238,2,-1,0,0
230,53,1467,5,124,1,-1,0,0
231,47,-12,5,18,1,-1,0,0
232,31,388,5,730,2,-1,0,0
233,57,294,5,746,2,-1,0,0
234,53,1827,5,121,1,-1,0,0
235,55,627,5,247,1,-1,0,0
236,45,25,5,40,1,-1,0,0
237,53,315,5,181,2,-1,0,0
238,37,0,5,79,1,-1,0,0
239,44,66,5,206,1,-1,0,0
240,49,-9,5,389,1,-1,0,0
241,46,349,5,127,1,-1,0,0
242,43,100,5,702,1,-1,0,0
243,38,0,5,151,1,-1,0,0
244,43,434,5,117,1,-1,0,0
245,49,3237,5,232,3,-1,0,0
246,42,275,5,408,2,-1,0,0
247,22,0,5,179,2,-1,0,0
248,40,207,5,39,1,-1,0,0
249,39,483,5,282,1,-1,0,0
250,51,2248,5,714,2,-1,0,0
251,49,428,5,50,1,-1,0,0
252,53,0,5,181,1,-1,0,0
253,34,0,5,142,1,-1,0,0
254,33,140,5,227,1,-1,0,0
255,50,297,5,119,1,-1,0,0
256,39,279,5,361,1,-1,0,0
257,59,901,5,73,3,-1,0,0
258,30,2573,5,67,2,-1,0,0
259,36,143,5,350,1,-1,0,0
260,40,475,5,332,2,-1,0,0
261,53,70,5,611,2,-1,0,0
262,34,318,5,113,2,-1,0,0
263,37,275,5,132,1,-1,0,0
264,42,742,5,58,3,-1,0,0
265,41,236,5,151,1,-1,0,0
266,30,25,5,89,2,-1,0,0
267,37,600,5,152,1,-1,0,0
268,39,-349,5,611,2,-1,0,0
269,41,183,5,110,2,-1,0,0
270,40,0,5,463,1,-1,0,0
271,42,0,5,562,2,-1,0,1
272,40,0,5,962,1,-1,0,0
273,57,1078,5,10,4,-1,0,0
274,56,155,5,118,3,-1,0,0
275,37,190,5,92,2,-1,0,0
276,59,319,5,143,3,-1,0,0
277,39,-185,5,189,3,-1,0,0
278,49,47,5,234,2,-1,0,0
279,38,570,5,75,2,-1,0,0
280,36,19,5,189,2,-1,0,0
281,50,61,5,621,3,-1,0,0
282,41,-62,5,55,2,-1,0,0
283,54,258,5,310,4,-1,0,0
284,58,76,5,156,2,-1,0,0
285,30,0,5,5,2,-1,0,0
286,33,352,5,225,2,-1,0,0
287,47,368,5,125,2,-1,0,0
288,50,339,5,2,3,-1,0,0
289,32,1331,5,286,2,-1,0,0
290,40,672,5,164,2,-1,0,0
291,37,58,5,98,2,-1,0,0
292,54,447,5,742,2,-1,0,0
293,24,423,5,226,3,-1,0,0
294,54,0,5,120,2,-1,0,0
295,34,19,5,362,4,-1,0,0
296,56,13,5,357,2,-1,0,0
297,31,3,5,200,2,-1,0,0
298,24,82,5,204,2,-1,0,0
299,42,28,5,126,3,-1,0,0
300,57,792,5,65,2,-1,0,0
301,42,408,5,107,2,-1,0,0
302,51,531,5,267,2,-1,0,0
303,57,211,5,248,2,-1,0,0
304,36,62,5,215,2,-1,0,0
305,53,257,5,209,2,-1,0,0
306,50,1234,5,205,2,-1,0,0
307,54,313,5,83,2,-1,0,0
308,55,89,5,106,3,-1,0,0
309,44,129,5,189,2,-1,0,0
310,43,0,5,105,2,-1,0,0
311,56,353,5,106,2,-1,0,0
312,54,851,5,108,2,-1,0,0
313,55,96,5,311,2,-1,0,0
314,37,398,5,214,2,-1,0,0
315,33,193,5,132,2,-1,0,0
316,46,-358,5,358,2,-1,0,0
317,36,539,5,453,2,-1,0,0
318,51,0,5,364,2,-1,0,0
319,40,0,5,136,2,-1,0,0
320,42,490,5,386,2,-1,0,0
321,51,0,5,173,2,-1,0,0
322,49,403,5,241,2,-1,0,0
323,48,161,5,224,3,-1,0,0
324,32,2558,5,148,2,-1,0,0
325,31,98,5,196,2,-1,0,0
326,55,115,5,111,4,-1,0,0
327,40,436,5,231,3,-1,0,0
328,47,831,5,316,3,-1,0,0
329,57,206,5,216,3,-1,0,0
330,41,290,5,240,2,-1,0,0
331,48,1,5,669,3,-1,0,0
332,42,57,5,425,2,-1,0,0
333,30,-457,5,143,2,-1,0,0
334,58,1387,5,174,5,-1,0,0
335,45,24598,5,313,3,-1,0,0
336,49,30,5,135,4,-1,0,0
337,42,1022,5,146,2,-1,0,0
338,53,56,5,152,2,-1,0,0
339,51,-2,5,402,3,-1,0,0
340,32,121,5,213,2,-1,0,0
341,41,842,5,144,3,-1,0,0
342,43,693,5,124,3,-1,0,0
343,40,-333,5,183,2,-1,0,0
344,50,1533,5,325,2,-1,0,0
345,34,46,5,39,4,-1,0,0
346,53,18,5,503,2,-1,0,0
347,45,44,5,95,4,-1,0,0
348,39,-100,5,680,2,-1,0,0
349,44,510,5,421,4,-1,0,0
350,55,685,5,174,3,-1,0,0
351,46,187,5,113,2,-1,0,0
352,45,66,5,808,2,-1,0,0
353,34,560,5,198,3,-1,0,0
354,36,0,5,195,2,-1,0,0
355,59,27,5,347,3,-1,0,0
356,31,12,5,208,2,-1,0,0
357,44,34,5,404,4,-1,0,0
358,33,1068,5,396,2,-1,0,0
359,40,211,5,216,4,-1,0,0
360,46,377,5,98,2,-1,0,0
361,48,263,5,350,2,-1,0,0
362,42,1263,6,114,2,-1,0,0
363,27,8,6,88,3,-1,0,0
364,48,126,6,379,2,-1,0,0
365,59,230,6,190,3,-1,0,0
366,46,841,6,158,1,-1,0,0
367,38,308,6,102,1,-1,0,0
368,43,1,6,306,1,-1,0,0
369,38,86,6,218,1,-1,0,0
370,23,157,6,54,1,-1,0,0
371,34,22,6,344,1,-1,0,0
372,38,46,6,195,1,-1,0,0
373,37,1293,6,652,1,-1,0,0
374,25,122,6,286,1,-1,0,0
375,48,131,6,189,1,-1,0,0
376,49,143,6,83,1,-1,0,0
377,38,393,6,184,2,-1,0,0
378,43,98,6,235,1,-1,0,0
379,33,0,6,290,1,-1,0,0
380,55,224,6,232,1,-1,0,0
381,38,757,6,133,1,-1,0,0
382,49,245,6,318,1,-1,0,0
383,40,8486,6,260,3,-1,0,0
384,43,350,6,437,1,-1,0,0
385,38,20,6,402,1,-1,0,0
386,58,1667,6,85,1,-1,0,0
387,57,345,6,125,1,-1,0,0
388,32,10,6,501,4,-1,0,0
389,56,830,6,1201,1,-1,0,1
390,58,29,6,253,1,-1,0,0
391,60,545,6,1030,1,-1,0,1
392,37,8730,6,149,1,-1,0,0
393,46,477,6,114,1,-1,0,0
394,27,4,6,243,1,-1,0,0
395,43,1205,6,769,2,-1,0,0
396,32,0,6,135,3,-1,0,0
397,40,263,6,231,1,-1,0,0
398,38,1,6,76,1,-1,0,0
399,34,283,6,199,1,-1,0,0
400,47,206,6,152,1,-1,0,0
401,42,17,6,124,1,-1,0,0
402,48,141,6,424,1,-1,0,0
403,29,16,6,43,1,-1,0,0
404,50,206,6,154,1,-1,0,0
405,52,7,6,203,2,-1,0,0
406,50,0,6,326,1,-1,0,0
407,58,0,6,393,1,-1,0,0
408,46,1927,6,241,3,-1,0,0
409,38,284,6,483,1,-1,0,0
410,46,1660,6,259,1,-1,0,0
411,32,406,6,227,1,-1,0,0
412,51,230,6,673,1,-1,0,0
413,39,-25,6,576,1,-1,0,0
414,48,182,6,180,2,-1,0,0
415,36,1169,6,168,2,-1,0,0
416,34,67,6,90,1,-1,0,0
417,40,77,6,505,1,-1,0,0
418,43,0,6,245,1,-1,0,0
419,52,55,6,186,1,-1,0,0
420,33,72,6,623,1,-1,0,0
421,49,163,6,496,3,-1,0,0
422,32,151,6,118,1,-1,0,0
423,39,113,6,342,1,-1,0,0
424,40,0,6,225,1,-1,0,0
425,38,9,6,185,3,-1,0,0
426,43,375,6,196,2,-1,0,0
427,39,1142,6,276,1,-1,0,0
428,54,2102,6,76,1,-1,0,0
429,38,4325,6,87,1,-1,0,0
430,40,217,6,195,1,-1,0,0
431,55,131,6,744,1,-1,0,0
432,42,1680,6,765,1,-1,0,0
433,39,0,6,262,1,-1,0,0
434,40,46,6,119,1,-1,0,0
435,32,320,6,198,2,-1,0,0
436,55,183,6,150,1,-1,0,0
437,45,39,6,241,1,-1,0,0
438,35,560,6,181,1,-1,0,0
439,58,469,6,196,1,-1,0,0
440,35,530,6,149,1,-1,0,0
441,49,61,6,246,1,-1,0,0
442,34,242,6,112,1,-1,0,0
443,36,139,6,309,2,-1,0,0
444,24,0,6,278,1,-1,0,0
445,34,367,6,140,1,-1,0,0
446,51,228,6,136,1,-1,0,0
447,39,45248,6,1623,1,-1,0,1
448,50,-84,6,101,1,-1,0,0
449,32,310,6,144,1,-1,0,0
450,42,132,6,238,1,-1,0,0
451,50,797,6,354,1,-1,0,0
452,40,71,6,79,1,-1,0,0
453,46,2,6,187,1,-1,0,0
454,37,231,6,451,2,-1,0,0
455,34,270,6,159,1,-1,0,0
456,44,274,6,409,1,-1,0,0
457,40,-109,6,170,1,-1,0,0
458,37,1,6,608,1,-1,0,1
459,33,-60,6,243,1,-1,0,0
460,35,89,6,145,2,-1,0,0
461,58,-11,6,112,1,-1,0,0
462,39,0,6,262,2,-1,0,0
463,43,-509,6,124,1,-1,0,0
464,39,408,6,53,1,-1,0,0
465,36,58,6,134,1,-1,0,0
466,57,1640,6,204,4,-1,0,0
467,36,20,6,186,1,-1,0,0
468,50,71,6,678,1,-1,0,0
469,55,52,6,182,1,-1,0,0
470,44,292,6,162,1,-1,0,0
471,44,424,6,27,1,-1,0,0
472,39,109,6,699,3,-1,0,0
473,46,1044,6,43,1,-1,0,0
474,39,983,6,97,1,-1,0,0
475,34,869,6,1677,1,-1,0,1
476,40,668,6,283,2,-1,0,0
477,50,964,6,323,1,-1,0,0
478,31,301,6,82,1,-1,0,0
479,37,140,6,310,1,-1,0,0
480,39,1877,6,185,1,-1,0,0
481,51,1127,6,47,1,-1,0,0
482,41,871,6,145,1,-1,0,0
483,41,767,6,204,1,-1,0,0
484,43,0,6,187,1,-1,0,0
485,30,209,6,30,2,-1,0,0
486,54,0,6,472,1,-1,0,0
487,43,110,6,448,1,-1,0,0
488,59,-76,6,264,1,-1,0,0
489,47,178,6,169,1,-1,0,0
490,40,-66,6,288,1,-1,0,0
491,32,0,6,176,2,-1,0,0
492,29,1,6,215,1,-1,0,0
493,36,0,6,337,1,-1,0,0
494,55,5345,6,278,1,-1,0,0
495,30,-209,6,188,2,-1,0,0
496,39,0,6,174,2,-1,0,0
497,39,42,6,226,2,-1,0,0
498,50,41,6,190,1,-1,0,0
499,44,-99,6,111,2,-1,0,0
500,37,17,6,164,1,-1,0,0
501,46,276,6,157,2,-1,0,0
502,32,-170,6,46,1,-1,0,0
503,37,230,6,374,1,-1,0,0
504,29,9,6,349,1,-1,0,0
505,41,946,6,325,1,-1,0,0
506,45,1297,6,233,2,-1,0,0
507,57,-331,6,531,1,-1,0,0
508,48,44,6,153,1,-1,0,0
509,60,15,6,80,1,-1,0,0
510,26,712,6,232,1,-1,0,0
511,58,5435,6,118,1,-1,0,0
512,34,507,6,190,1,-1,0,0
513,55,387,6,918,1,-1,0,1
514,41,0,6,238,1,-1,0,0
515,50,1716,6,82,1,-1,0,0
516,49,167,6,198,3,-1,0,0
517,44,40,6,160,2,-1,0,0
518,44,148,6,211,1,-1,0,0
519,31,17,6,120,1,-1,0,0
520,34,1011,6,136,1,-1,0,0
521,46,1527,6,269,1,-1,0,0
522,42,744,6,157,1,-1,0,0
523,52,484,6,128,1,-1,0,0
524,29,0,6,211,1,-1,0,0
525,53,136,6,267,2,-1,0,0
526,43,1335,6,371,2,-1,0,0
527,38,517,6,288,2,-1,0,0
528,46,459,6,221,1,-1,0,0
529,48,549,6,427,1,-1,0,0
530,30,83,6,310,1,-1,0,0
531,44,213,6,158,1,-1,0,0
532,31,203,6,604,3,-1,0,0
533,42,518,6,198,1,-1,0,0
534,40,3877,6,145,1,-1,0,0
535,52,1236,6,247,1,-1,0,0
536,45,756,6,179,2,-1,0,0
537,48,157,6,73,1,-1,0,0
538,45,-66,6,263,2,-1,0,0
539,34,245,6,13,1,-1,0,0
540,34,-144,6,79,2,-1,0,0
541,46,71,6,416,1,-1,0,0
542,49,505,6,162,1,-1,0,0
543,50,249,6,129,1,-1,0,0
544,34,0,6,150,1,-1,0,0
545,40,11,6,43,1,-1,0,0
546,36,639,6,191,1,-1,0,0
547,59,124,6,26,1,-1,0,0
548,45,82,6,250,1,-1,0,0
549,36,107,6,146,1,-1,0,0
550,56,473,6,416,1,-1,0,0
551,42,372,6,121,2,-1,0,0
552,30,46,6,114,2,-1,0,0
553,30,34,6,289,1,-1,0,0
554,47,935,6,225,1,-1,0,0
555,33,-10,6,123,1,-1,0,0
556,36,-106,6,130,2,-1,0,0
557,39,471,6,161,2,-1,0,0
558,56,778,6,149,2,-1,0,0
559,39,170,6,268,2,-1,0,0
560,42,315,6,259,2,-1,0,0
561,52,3165,6,26,1,-1,0,0
562,36,131,6,153,1,-1,0,0
563,35,204,6,424,2,-1,0,0
564,47,83,6,179,2,-1,0,0
565,59,0,6,97,1,-1,0,0
566,57,5431,6,383,1,-1,0,0
567,38,1759,6,440,1,-1,0,0
568,46,-125,6,23,1,-1,0,0
569,34,0,6,195,1,-1,0,0
570,28,5090,6,1297,3,-1,0,1
571,38,573,6,87,1,-1,0,0
572,56,1602,6,427,1,-1,0,0
573,41,-137,6,189,1,-1,0,0
574,52,0,6,195,1,-1,0,0
575,54,193,6,179,1,-1,0,0
576,61,195,6,179,1,-1,0,0
577,53,288,6,69,1,-1,0,0
578,47,19,6,105,2,-1,0,0
579,53,25,6,266,3,-1,0,0
580,46,216,6,524,2,-1,0,0
581,39,190,6,96,2,-1,0,0
582,56,99,6,155,2,-1,0,0
583,55,2298,6,162,2,-1,0,0
584,44,17,6,352,2,-1,0,0
585,37,0,6,76,4,-1,0,0
586,35,0,6,154,2,-1,0,0
587,55,840,6,310,2,-1,0,0
588,37,358,6,390,3,-1,0,0
589,30,0,6,369,1,-1,0,0
590,37,-325,6,112,2,-1,0,0
591,36,-15,6,341,3,-1,0,0
592,38,581,6,79,1,-1,0,0
593,41,4070,6,140,2,-1,0,0
594,48,74,6,315,1,-1,0,0
595,55,141,6,262,2,-1,0,0
596,28,89,6,174,2,-1,0,0
597,54,0,6,138,3,-1,0,0
598,30,450,6,526,2,-1,0,0
599,48,310,6,135,1,-1,0,0
600,31,0,6,36,5,-1,0,0
601,38,384,6,1906,3,-1,0,0
602,37,395,6,219,2,-1,0,0
603,37,-118,6,147,2,-1,0,0
604,56,5,6,407,2,-1,0,0
605,51,50,6,121,1,-1,0,0
606,39,285,6,209,1,-1,0,0
607,49,15,6,92,2,-1,0,0
608,51,653,6,208,1,-1,0,0
609,43,918,6,193,1,-1,0,0
610,32,243,6,144,1,-1,0,0
611,29,405,6,65,1,-1,0,0
612,48,1328,6,339,1,-1,0,0
613,55,255,6,285,1,-1,0,0
614,53,3397,6,231,1,-1,0,0
615,47,2106,6,168,1,-1,0,0
616,39,2877,6,278,1,-1,0,0
617,31,60,6,389,1,-1,0,0
618,39,2226,6,158,1,-1,0,0
619,40,2880,6,145,2,-1,0,0
620,40,-5,6,78,2,-1,0,0
621,48,147,6,142,3,-1,0,0
622,33,7,6,87,1,-1,0,0
623,40,109,6,147,2,-1,0,0
624,59,-119,6,289,1,-1,0,0
625,30,484,6,703,1,-1,0,1
626,31,1852,6,170,3,-1,0,0
627,35,533,6,802,1,-1,0,0
628,54,21,6,381,2,-1,0,0
629,34,2434,6,218,4,-1,0,0
630,32,90,6,57,2,-1,0,0
631,56,4246,6,304,2,-1,0,0
632,32,395,6,241,3,-1,0,0
633,42,15,6,230,1,-1,0,0
634,33,85,6,262,3,-1,0,0
635,52,-184,6,392,2,-1,0,0
636,52,660,6,201,2,-1,0,0
637,52,-183,6,145,1,-1,0,0
638,30,1144,6,252,1,-1,0,0
639,44,1,6,235,4,-1,0,0
640,35,69,6,235,2,-1,0,0
641,55,220,6,328,2,-1,0,0
642,33,332,6,116,2,-1,0,0
643,37,240,6,246,1,-1,0,0
644,42,0,6,293,1,-1,0,0
645,43,0,6,37,2,-1,0,0
646,38,898,6,132,2,-1,0,0
647,37,123,6,530,2,-1,0,0
648,31,252,6,175,3,-1,0,0
649,41,65,6,524,2,-1,0,0
650,41,-366,6,29,3,-1,0,0
651,29,209,6,311,2,-1,0,0
652,38,221,6,211,2,-1,0,0
653,44,4,6,312,3,-1,0,0
654,39,104,6,412,1,-1,0,0
655,28,312,6,392,1,-1,0,0
656,33,-349,6,191,1,-1,0,0
657,41,4,6,284,2,-1,0,0
658,40,-322,6,144,1,-1,0,0
659,29,-150,6,328,1,-1,0,0
660,38,1349,6,100,1,-1,0,0
661,32,281,6,226,1,-1,0,0
662,45,1259,6,507,1,-1,0,0
663,33,101,6,392,1,-1,0,0
664,34,848,6,684,2,-1,0,0
665,41,89,6,333,2,-1,0,0
666,41,140,6,311,3,-1,0,0
667,35,148,6,128,2,-1,0,0
668,40,200,6,322,2,-1,0,0
669,60,46,6,202,4,-1,0,0
670,47,201,6,92,2,-1,0,0
671,46,530,6,739,3,-1,0,0
672,31,0,6,273,2,-1,0,0
673,49,1,6,260,3,-1,0,0
674,29,43,6,268,2,-1,0,0
675,31,-173,6,396,2,-1,0,0
676,38,389,6,262,1,-1,0,0
677,37,215,6,308,3,-1,0,0
678,35,-131,6,467,2,-1,0,0
679,31,783,6,320,1,-1,0,0
680,41,0,6,160,3,-1,0,0
681,46,80,6,245,2,-1,0,0
682,40,105,6,189,2,-1,0,0
683,29,182,6,477,1,-1,0,0
684,49,82,6,310,1,-1,0,0
685,42,0,6,65,3,-1,0,0
686,54,510,6,196,2,-1,0,0
687,40,242,6,221,2,-1,0,0
688,53,244,6,197,2,-1,0,0
689,49,92,6,221,2,-1,0,0
690,40,0,6,64,2,-1,0,0
691,29,948,6,75,2,-1,0,0
692,36,23,6,400,2,-1,0,0
693,37,710,6,378,3,-1,0,0
694,39,1205,6,118,2,-1,0,0
695,36,368,6,1597,2,-1,0,1
696,44,1631,6,346,2,-1,0,0
697,40,6,6,60,3,-1,0,0
698,49,26,6,276,2,-1,0,0
699,30,-48,6,152,2,-1,0,0
700,57,2142,6,251,3,-1,0,0
701,24,77,6,390,2,-1,0,0
702,46,401,6,306,2,-1,0,0
703,33,21,6,189,3,-1,0,0
704,43,0,6,125,2,-1,0,0
705,43,-497,6,234,2,-1,0,0
706,40,369,6,79,2,-1,0,0
707,44,78,6,13,6,-1,0,0
708,35,226,6,283,3,-1,0,0
709,47,503,6,109,2,-1,0,0
710,33,372,6,132,2,-1,0,0
711,31,0,6,144,2,-1,0,0
712,40,0,6,121,2,-1,0,0
713,36,125,6,95,3,-1,0,0
714,56,4,6,31,3,-1,0,0
715,40,419,6,112,3,-1,0,0
716,41,322,6,87,4,-1,0,0
717,53,303,6,593,2,-1,0,0
718,39,607,6,99,2,-1,0,0
719,44,579,6,198,2,-1,0,0
720,38,3047,6,285,2,-1,0,0
721,54,83,6,190,3,-1,0,0
722,58,68,6,172,5,-1,0,0
723,52,58,6,213,3,-1,0,0
724,28,251,6,178,2,-1,0,0
725,36,688,6,174,2,-1,0,0
